feedback_id,ride_id,customer_id,rating,feedback_category,feedback_text,created_at
63,251,475,5,vehicle,Excellent service! Driver was very professional.,2025-04-25 01:35:16.867558
64,254,524,6,other,Perfect experience from start to finish.,2025-04-24 08:53:37.907370
65,255,1289,4,other,Driver was okay but not very talkative.,2025-04-24 09:42:20.299504
66,258,432,4,driver,Driver was okay but not very talkative.,2025-04-25 16:29:03.229271
67,265,2673,4,route,Driver was okay but not very talkative.,2025-04-24 16:08:11.279384
68,274,2042,4,pricing,Clean car and smooth ride. Will use again!,2025-04-25 04:15:11.627134
69,276,2929,4,route,Excellent service! Driver was very professional.,2025-04-24 15:14:21.638642
70,277,1798,4,driver,Clean car and smooth ride. Will use again!,2025-04-24 19:01:25.405269
71,281,4312,3,pricing,Car was dirty and uncomfortable.,2025-04-25 02:03:11.930230
72,291,1557,4,other,"Good overall, but took a longer route.",2025-04-24 21:12:21.133486
73,292,4503,4,driver,Decent ride but car smelled like smoke.,2025-04-24 10:25:39.382337
74,293,211,4,driver,Decent ride but car smelled like smoke.,2025-04-25 17:54:47.902221
75,295,1854,4,vehicle,"Good overall, but took a longer route.",2025-04-24 16:10:47.507328
76,305,2629,5,other,Perfect experience from start to finish.,2025-04-24 10:15:02.409906
77,306,3064,3,driver,Terrible experience. Driver was rude.,2025-04-24 23:57:33.370017
78,316,290,4,driver,Driver was okay but not very talkative.,2025-04-25 05:28:08.533096
79,318,4580,5,vehicle,Excellent service! Driver was very professional.,2025-04-24 20:59:57.690329
80,320,584,4,route,Perfect experience from start to finish.,2025-04-25 01:00:39.912694
81,323,722,5,pricing,Clean car and smooth ride. Will use again!,2025-04-25 02:13:37.707253
82,326,2768,4,pricing,Perfect experience from start to finish.,2025-04-24 14:44:00.797946
83,328,307,4,other,Driver was okay but not very talkative.,2025-04-24 13:43:37.372385
84,330,77,5,pricing,Excellent service! Driver was very professional.,2025-04-24 21:11:58.331249
85,335,2562,5,pricing,Excellent service! Driver was very professional.,2025-04-25 07:23:08.976616
86,337,3918,4,vehicle,Driver was okay but not very talkative.,2025-04-25 03:22:31.619594
87,343,3102,5,vehicle,Excellent service! Driver was very professional.,2025-04-25 06:36:52.352916
88,348,1605,4,route,Driver was okay but not very talkative.,2025-04-25 08:51:58.884687
89,349,381,5,vehicle,Perfect experience from start to finish.,2025-04-24 18:54:27.797803
90,350,398,4,route,Decent ride but car smelled like smoke.,2025-04-25 05:17:18.794655
91,358,4598,5,driver,Perfect experience from start to finish.,2025-04-25 15:51:00.534619
92,372,4798,4,driver,Driver was okay but not very talkative.,2025-04-24 18:08:15.769769
93,375,4535,5,route,Excellent service! Driver was very professional.,2025-04-25 01:46:10.597035
94,382,627,4,other,Driver was okay but not very talkative.,2025-04-24 15:05:27.252710
95,385,1359,5,driver,Excellent service! Driver was very professional.,2025-04-24 11:27:47.843992
96,387,2960,4,route,"Good overall, but took a longer route.",2025-04-24 08:08:02.766625
97,405,427,4,route,Driver was okay but not very talkative.,2025-04-24 19:04:43.580711
98,406,3038,3,route,Car was dirty and uncomfortable.,2025-04-25 07:32:20.893009
99,408,1898,4,route,Driver was okay but not very talkative.,2025-04-24 18:09:39.290423
100,417,643,3,driver,Car was dirty and uncomfortable.,2025-04-25 09:28:14.827481
101,418,4034,4,driver,Decent ride but car smelled like smoke.,2025-04-24 14:00:53.729688
102,423,1932,4,route,Clean car and smooth ride. Will use again!,2025-04-24 23:29:57.569042
103,424,1102,4,pricing,Excellent service! Driver was very professional.,2025-04-25 00:02:55.182661
104,427,4411,5,vehicle,Perfect experience from start to finish.,2025-04-25 13:25:55.089163
105,429,585,4,driver,"Good overall, but took a longer route.",2025-04-25 15:44:51.465016
106,442,121,4,other,"Good overall, but took a longer route.",2025-04-24 15:51:56.989275
107,449,492,5,other,Perfect experience from start to finish.,2025-04-25 01:03:51.627266
108,454,4416,5,other,Perfect experience from start to finish.,2025-04-24 20:30:10.304135
109,456,3184,5,vehicle,Perfect experience from start to finish.,2025-04-25 01:50:35.887885
110,460,1466,4,route,Decent ride but car smelled like smoke.,2025-04-24 22:51:57.122984
111,464,4241,5,pricing,Perfect experience from start to finish.,2025-04-25 22:32:31.669692
112,467,3953,4,other,"Good overall, but took a longer route.",2025-04-24 23:49:28.952114
113,471,738,4,vehicle,Driver was okay but not very talkative.,2025-04-24 18:37:17.285262
114,475,3623,5,vehicle,Clean car and smooth ride. Will use again!,2025-04-24 21:22:57.424771
115,481,3752,4,other,Driver was okay but not very talkative.,2025-04-25 11:43:13.193752
116,482,2883,4,pricing,"Good overall, but took a longer route.",2025-04-25 10:45:25.451360
117,484,1864,5,driver,Clean car and smooth ride. Will use again!,2025-04-24 04:55:38.494925
118,493,4865,5,vehicle,Excellent service! Driver was very professional.,2025-04-24 11:43:53.423731
119,494,3241,5,vehicle,Clean car and smooth ride. Will use again!,2025-04-25 18:09:29.091714
120,497,1466,4,route,Decent ride but car smelled like smoke.,2025-04-25 21:29:06.614937
121,500,1329,5,driver,Excellent service! Driver was very professional.,2025-04-26 06:08:19.153261
122,502,48,4,driver,"Good overall, but took a longer route.",2025-04-26 10:40:06.973677
123,505,4874,4,other,"Good overall, but took a longer route.",2025-04-26 00:15:16.035139
124,507,4298,4,vehicle,Decent ride but car smelled like smoke.,2025-04-26 01:57:30.079336
125,510,967,5,other,Clean car and smooth ride. Will use again!,2025-04-25 09:16:56.491862
126,518,307,5,vehicle,Clean car and smooth ride. Will use again!,2025-04-25 22:38:40.049123
127,519,4290,5,pricing,Clean car and smooth ride. Will use again!,2025-04-25 22:35:14.359620
128,520,3176,5,vehicle,Excellent service! Driver was very professional.,2025-04-25 20:28:11.088924
129,525,3494,4,driver,"Good overall, but took a longer route.",2025-04-26 17:12:36.425610
130,530,877,4,driver,Decent ride but car smelled like smoke.,2025-04-26 04:35:05.661461
131,531,3952,4,other,Driver was okay but not very talkative.,2025-04-25 23:21:52.712957
132,537,436,4,other,Driver was okay but not very talkative.,2025-04-25 20:10:01.232705
133,540,3578,4,other,Clean car and smooth ride. Will use again!,2025-04-26 19:07:18.828501
134,543,4754,4,vehicle,Driver was okay but not very talkative.,2025-04-25 09:40:44.537441
135,544,4998,5,route,Clean car and smooth ride. Will use again!,2025-04-25 21:41:27.231284
136,547,2134,4,pricing,Decent ride but car smelled like smoke.,2025-04-25 21:52:31.857232
137,558,4911,4,other,"Good overall, but took a longer route.",2025-04-26 08:50:49.655449
138,561,2169,4,route,Decent ride but car smelled like smoke.,2025-04-25 19:34:29.883848
139,562,1790,5,route,Clean car and smooth ride. Will use again!,2025-04-26 08:14:59.417460
140,563,154,5,vehicle,Perfect experience from start to finish.,2025-04-25 11:47:41.056131
141,577,3410,5,driver,Excellent service! Driver was very professional.,2025-04-25 22:06:33.804853
142,578,1430,4,pricing,"Good overall, but took a longer route.",2025-04-25 19:37:33.315048
143,588,4275,5,vehicle,Perfect experience from start to finish.,2025-04-26 00:14:59.164253
144,589,2682,4,other,"Good overall, but took a longer route.",2025-04-26 19:50:22.065206
145,594,4350,4,driver,Perfect experience from start to finish.,2025-04-26 19:07:07.598152
146,616,4554,5,route,Clean car and smooth ride. Will use again!,2025-04-26 01:53:10.728110
147,621,1338,4,pricing,Decent ride but car smelled like smoke.,2025-04-25 15:39:42.036795
148,622,630,5,driver,Excellent service! Driver was very professional.,2025-04-25 20:31:18.260141
149,624,3973,4,route,Driver was okay but not very talkative.,2025-04-25 12:05:38.056097
150,628,916,4,route,Decent ride but car smelled like smoke.,2025-04-25 08:21:59.729727
151,629,486,4,route,Driver was okay but not very talkative.,2025-04-25 04:07:53.128030
152,632,1570,4,pricing,Decent ride but car smelled like smoke.,2025-04-26 08:54:18.718515
153,633,3003,4,driver,Clean car and smooth ride. Will use again!,2025-04-25 20:04:12.632515
154,636,3506,4,pricing,"Good overall, but took a longer route.",2025-04-26 00:21:09.849302
155,646,4606,4,vehicle,Driver was okay but not very talkative.,2025-04-26 07:45:45.977766
156,648,798,4,vehicle,Driver was okay but not very talkative.,2025-04-25 08:54:18.571326
157,661,346,4,route,"Good overall, but took a longer route.",2025-04-26 02:51:47.675924
158,662,740,5,pricing,Excellent service! Driver was very professional.,2025-04-25 22:31:50.101335
159,668,4382,4,driver,Driver was okay but not very talkative.,2025-04-26 21:27:27.224053
160,671,544,4,other,Decent ride but car smelled like smoke.,2025-04-26 00:58:12.164602
161,672,3633,4,route,Perfect experience from start to finish.,2025-04-25 16:57:49.363163
162,673,1066,5,other,Clean car and smooth ride. Will use again!,2025-04-25 20:22:33.526685
163,676,3514,3,other,Terrible experience. Driver was rude.,2025-04-26 04:56:23.739580
164,677,3717,4,route,Driver was okay but not very talkative.,2025-04-26 17:13:01.030077
165,682,2078,3,other,Car was dirty and uncomfortable.,2025-04-26 01:48:50.645540
166,687,4055,4,driver,Driver was okay but not very talkative.,2025-04-25 14:18:14.951726
167,688,1669,4,driver,"Good overall, but took a longer route.",2025-04-26 16:01:14.846973
168,689,34,5,pricing,Excellent service! Driver was very professional.,2025-04-26 06:34:32.299707
169,694,1263,4,other,Driver was okay but not very talkative.,2025-04-25 20:34:38.921275
170,699,3807,5,driver,Perfect experience from start to finish.,2025-04-26 05:22:16.818787
171,700,1471,5,other,Perfect experience from start to finish.,2025-04-25 19:30:14.490201
172,703,4931,5,driver,Perfect experience from start to finish.,2025-04-25 23:04:16.180227
173,708,4061,5,other,Excellent service! Driver was very professional.,2025-04-26 06:23:58.995627
174,709,3997,4,pricing,"Good overall, but took a longer route.",2025-04-26 13:44:53.281475
175,712,3198,5,other,Excellent service! Driver was very professional.,2025-04-26 04:51:11.267389
176,718,2963,4,other,"Good overall, but took a longer route.",2025-04-25 18:12:51.409790
177,724,4536,5,driver,Clean car and smooth ride. Will use again!,2025-04-26 04:28:36.006157
178,731,4693,4,driver,Decent ride but car smelled like smoke.,2025-04-25 09:28:58.609150
179,734,4087,4,pricing,"Good overall, but took a longer route.",2025-04-25 19:51:37.301172
180,735,3750,5,other,Perfect experience from start to finish.,2025-04-26 05:29:32.365493
181,738,2323,5,driver,Perfect experience from start to finish.,2025-04-26 16:34:12.776279
182,739,3706,4,vehicle,Driver was okay but not very talkative.,2025-04-26 22:35:22.339384
183,740,3679,5,driver,Perfect experience from start to finish.,2025-04-26 18:40:28.067572
184,743,4275,5,vehicle,Clean car and smooth ride. Will use again!,2025-04-27 02:51:31.889494
185,746,2094,3,route,Overcharged for the distance traveled.,2025-04-26 21:39:31.583560
186,748,4801,4,other,Excellent service! Driver was very professional.,2025-04-26 23:07:39.672151
187,758,70,4,other,"Good overall, but took a longer route.",2025-04-27 06:56:03.826381
188,769,533,4,pricing,Decent ride but car smelled like smoke.,2025-04-27 01:08:43.717512
189,773,2100,4,vehicle,Driver was okay but not very talkative.,2025-04-26 18:05:06.869930
190,776,1642,4,route,"Good overall, but took a longer route.",2025-04-27 19:00:09.769547
191,777,4739,4,other,Driver was okay but not very talkative.,2025-04-27 03:32:37.031636
192,778,1828,3,driver,Car was dirty and uncomfortable.,2025-04-26 04:39:58.853631
193,780,2949,5,pricing,Perfect experience from start to finish.,2025-04-26 20:34:30.051934
194,787,4305,4,driver,"Good overall, but took a longer route.",2025-04-26 17:37:42.525105
195,789,695,5,driver,Perfect experience from start to finish.,2025-04-26 14:24:48.531552
196,790,3831,5,route,Excellent service! Driver was very professional.,2025-04-26 17:59:54.379389
197,794,4751,4,driver,Decent ride but car smelled like smoke.,2025-04-27 06:00:59.259201
198,795,1720,4,pricing,"Good overall, but took a longer route.",2025-04-26 13:01:24.988977
199,799,4980,5,route,Perfect experience from start to finish.,2025-04-26 23:51:37.666891
200,801,570,3,route,Car was dirty and uncomfortable.,2025-04-27 08:46:30.116971
201,804,3760,4,driver,Decent ride but car smelled like smoke.,2025-04-27 03:41:27.809311
202,808,547,4,other,"Good overall, but took a longer route.",2025-04-27 06:58:51.299215
203,817,4605,4,other,Decent ride but car smelled like smoke.,2025-04-26 18:36:44.904824
204,823,1017,4,vehicle,Excellent service! Driver was very professional.,2025-04-27 03:19:56.289499
205,824,1243,4,vehicle,Driver was okay but not very talkative.,2025-04-26 08:18:26.773007
206,833,1268,5,other,Perfect experience from start to finish.,2025-04-26 17:36:12.457750
207,838,757,5,route,Clean car and smooth ride. Will use again!,2025-04-27 01:17:42.391305
208,839,3497,4,other,Driver was okay but not very talkative.,2025-04-27 00:06:34.664635
209,840,729,5,route,Clean car and smooth ride. Will use again!,2025-04-27 08:13:22.015626
210,841,53,4,route,Driver was okay but not very talkative.,2025-04-26 16:06:57.954889
211,846,3078,5,route,Clean car and smooth ride. Will use again!,2025-04-26 13:11:29.300618
212,854,733,4,other,Decent ride but car smelled like smoke.,2025-04-26 14:12:58.809374
213,858,952,5,route,Perfect experience from start to finish.,2025-04-27 06:19:36.501332
214,863,431,4,other,Decent ride but car smelled like smoke.,2025-04-27 12:02:02.239342
215,864,3879,4,other,"Good overall, but took a longer route.",2025-04-27 03:09:43.900357
216,865,1073,6,other,Perfect experience from start to finish.,2025-04-27 03:13:55.928603
217,867,1210,4,route,Decent ride but car smelled like smoke.,2025-04-26 18:59:56.319580
218,868,4223,5,pricing,Perfect experience from start to finish.,2025-04-26 16:39:12.266895
219,874,1017,4,other,Driver was okay but not very talkative.,2025-04-27 15:37:06.255509
220,879,2273,5,driver,Perfect experience from start to finish.,2025-04-26 17:51:05.841036
221,882,636,4,pricing,Driver was okay but not very talkative.,2025-04-27 09:31:44.607023
222,886,4356,4,route,Decent ride but car smelled like smoke.,2025-04-26 13:25:01.979323
223,900,1626,4,pricing,"Good overall, but took a longer route.",2025-04-26 10:42:46.330309
224,904,2030,4,vehicle,Driver was okay but not very talkative.,2025-04-27 02:21:46.129685
225,908,424,4,pricing,Decent ride but car smelled like smoke.,2025-04-26 22:33:05.991053
226,913,2470,5,vehicle,Perfect experience from start to finish.,2025-04-27 03:37:56.866894
227,923,2109,6,route,Clean car and smooth ride. Will use again!,2025-04-27 00:22:29.183716
228,927,97,4,driver,Driver was okay but not very talkative.,2025-04-27 17:36:48.529863
229,933,625,5,other,Excellent service! Driver was very professional.,2025-04-26 09:37:08.992359
230,940,4575,5,route,Clean car and smooth ride. Will use again!,2025-04-26 08:41:01.564938
231,943,1158,5,pricing,Perfect experience from start to finish.,2025-04-27 10:17:24.248900
232,944,4321,4,vehicle,Excellent service! Driver was very professional.,2025-04-26 13:02:35.688824
233,946,4687,5,pricing,Excellent service! Driver was very professional.,2025-04-27 03:58:16.498997
234,947,459,4,route,Driver was okay but not very talkative.,2025-04-26 21:18:06.250172
235,965,512,5,pricing,Clean car and smooth ride. Will use again!,2025-04-27 07:21:22.484595
236,966,685,4,other,"Good overall, but took a longer route.",2025-04-27 02:29:39.003248
237,970,2593,5,pricing,Excellent service! Driver was very professional.,2025-04-27 07:04:25.304941
238,972,1538,5,vehicle,Clean car and smooth ride. Will use again!,2025-04-26 23:17:30.980125
239,979,3243,5,vehicle,Perfect experience from start to finish.,2025-04-27 14:13:09.710563
240,980,3398,5,route,Excellent service! Driver was very professional.,2025-04-27 08:44:59.672361
241,987,4747,4,driver,Driver was okay but not very talkative.,2025-04-27 01:10:31.765210
242,989,2569,4,other,"Good overall, but took a longer route.",2025-04-27 09:07:39.371046
243,1000,4702,5,pricing,Perfect experience from start to finish.,2025-04-27 11:25:31.646194
244,1002,4717,4,route,Decent ride but car smelled like smoke.,2025-04-27 11:23:50.485917
245,1005,240,4,vehicle,Driver was okay but not very talkative.,2025-04-27 03:57:26.711053
246,1008,4780,5,vehicle,Perfect experience from start to finish.,2025-04-27 05:30:20.443851
247,1011,1741,4,route,Driver was okay but not very talkative.,2025-04-26 21:07:25.349067
248,1014,878,4,other,Decent ride but car smelled like smoke.,2025-04-27 21:45:04.448709
249,1022,1455,4,driver,"Good overall, but took a longer route.",2025-04-27 19:48:23.515047
250,1025,2889,3,driver,Terrible experience. Driver was rude.,2025-04-28 08:26:05.770905
251,1031,4573,5,other,Excellent service! Driver was very professional.,2025-04-28 14:52:59.876342
252,1035,804,4,other,Driver was okay but not very talkative.,2025-04-28 21:56:16.861123
253,1036,1635,5,pricing,Clean car and smooth ride. Will use again!,2025-04-27 12:01:01.442406
254,1039,2478,5,vehicle,Clean car and smooth ride. Will use again!,2025-04-28 05:00:21.462093
255,1046,1010,5,vehicle,Excellent service! Driver was very professional.,2025-04-28 16:52:21.732125
256,1047,4479,5,route,Perfect experience from start to finish.,2025-04-28 05:39:34.611413
257,1051,3765,4,route,Driver was okay but not very talkative.,2025-04-27 12:31:28.574342
258,1052,1478,4,other,Decent ride but car smelled like smoke.,2025-04-28 04:32:36.205587
259,1058,2946,5,route,Perfect experience from start to finish.,2025-04-27 12:06:32.744971
260,1065,4901,5,pricing,Perfect experience from start to finish.,2025-04-27 17:31:58.782547
261,1073,3984,5,pricing,Excellent service! Driver was very professional.,2025-04-27 08:23:15.945466
262,1087,4187,5,pricing,Clean car and smooth ride. Will use again!,2025-04-27 13:18:34.650909
263,1088,2320,3,vehicle,Overcharged for the distance traveled.,2025-04-27 22:29:01.887682
264,1090,2565,4,other,Decent ride but car smelled like smoke.,2025-04-28 17:03:19.988149
265,1091,1230,4,pricing,Driver was okay but not very talkative.,2025-04-27 19:55:48.575398
266,1095,2968,4,pricing,"Good overall, but took a longer route.",2025-04-27 17:35:15.605758
267,1098,4544,4,vehicle,"Good overall, but took a longer route.",2025-04-27 14:18:27.188334
268,1099,4219,4,driver,Decent ride but car smelled like smoke.,2025-04-27 23:54:00.534073
269,1103,2436,4,pricing,Decent ride but car smelled like smoke.,2025-04-28 01:30:18.181225
270,1108,3645,5,pricing,Perfect experience from start to finish.,2025-04-28 04:51:28.016335
271,1111,2579,5,route,Excellent service! Driver was very professional.,2025-04-28 05:58:58.504789
272,1118,4008,4,other,Driver was okay but not very talkative.,2025-04-28 11:05:56.992561
273,1119,2602,4,route,Driver was okay but not very talkative.,2025-04-27 20:18:18.373213
274,1121,4422,4,vehicle,"Good overall, but took a longer route.",2025-04-28 01:41:50.259307
275,1123,1323,4,pricing,Decent ride but car smelled like smoke.,2025-04-28 13:40:51.328877
276,1124,3260,4,vehicle,Driver was okay but not very talkative.,2025-04-27 13:57:07.645998
277,1130,4614,5,other,Excellent service! Driver was very professional.,2025-04-28 10:00:23.368412
278,1132,2065,5,vehicle,Perfect experience from start to finish.,2025-04-28 04:00:16.627744
279,1136,2431,4,route,"Good overall, but took a longer route.",2025-04-28 09:06:25.838715
280,1141,2329,4,pricing,Driver was okay but not very talkative.,2025-04-28 00:43:16.391037
281,1142,4855,4,pricing,Driver was okay but not very talkative.,2025-04-28 02:37:26.369293
282,1148,2853,5,vehicle,Excellent service! Driver was very professional.,2025-04-27 15:52:19.284732
283,1150,3022,4,driver,Driver was okay but not very talkative.,2025-04-27 19:12:46.525234
284,1160,1088,6,other,Excellent service! Driver was very professional.,2025-04-28 10:05:09.075597
285,1164,744,3,route,Overcharged for the distance traveled.,2025-04-28 15:38:03.405684
286,1165,3828,4,route,"Good overall, but took a longer route.",2025-04-28 03:48:05.314027
287,1166,65,5,pricing,Clean car and smooth ride. Will use again!,2025-04-28 18:32:19.840844
288,1170,1144,5,pricing,Perfect experience from start to finish.,2025-04-28 02:43:04.503435
289,1171,3774,4,driver,Driver was okay but not very talkative.,2025-04-28 02:56:33.679712
290,1174,3276,5,other,Perfect experience from start to finish.,2025-04-27 18:16:08.996457
291,1176,4909,3,pricing,Overcharged for the distance traveled.,2025-04-27 21:27:10.081005
292,1178,1340,4,other,"Good overall, but took a longer route.",2025-04-27 21:28:31.168047
293,1180,2482,4,pricing,"Good overall, but took a longer route.",2025-04-28 01:44:37.716426
294,1181,2745,4,route,Decent ride but car smelled like smoke.,2025-04-28 11:40:12.756822
295,1183,4011,3,other,Overcharged for the distance traveled.,2025-04-27 11:37:45.780863
296,1185,300,4,driver,Driver was okay but not very talkative.,2025-04-28 01:13:07.246771
297,1187,4992,4,other,Decent ride but car smelled like smoke.,2025-04-28 00:17:41.169057
298,1189,1570,5,route,Perfect experience from start to finish.,2025-04-27 21:22:08.089396
299,1190,3875,4,other,"Good overall, but took a longer route.",2025-04-27 09:00:28.192143
300,1199,3426,4,other,"Good overall, but took a longer route.",2025-04-27 18:45:11.784488
301,1203,3349,4,route,Driver was okay but not very talkative.,2025-04-28 07:40:55.031361
302,1204,3190,5,driver,Perfect experience from start to finish.,2025-04-28 10:35:56.630569
303,1205,1637,4,pricing,"Good overall, but took a longer route.",2025-04-27 18:16:56.783422
304,1208,2131,4,driver,Driver was okay but not very talkative.,2025-04-28 08:06:42.003741
305,1209,2400,4,pricing,Driver was okay but not very talkative.,2025-04-27 22:32:00.313071
306,1210,1017,5,other,Perfect experience from start to finish.,2025-04-28 03:59:44.427439
307,1216,4234,4,route,Driver was okay but not very talkative.,2025-04-27 14:21:12.448661
308,1219,4665,4,other,Driver was okay but not very talkative.,2025-04-27 11:43:25.430755
309,1221,3659,4,pricing,Driver was okay but not very talkative.,2025-04-28 06:01:19.049296
310,1222,330,4,route,"Good overall, but took a longer route.",2025-04-28 06:16:54.992470
311,1223,499,5,route,Perfect experience from start to finish.,2025-04-28 00:28:58.718358
312,1227,2040,4,driver,Decent ride but car smelled like smoke.,2025-04-27 12:43:31.592459
313,1231,1294,4,other,"Good overall, but took a longer route.",2025-04-27 09:54:13.928976
314,1234,2247,3,driver,Car was dirty and uncomfortable.,2025-04-28 00:54:45.338017
315,1235,2669,5,route,Perfect experience from start to finish.,2025-04-28 07:11:57.241592
316,1236,3930,4,other,Driver was okay but not very talkative.,2025-04-27 15:13:57.990186
317,1237,4802,5,driver,Clean car and smooth ride. Will use again!,2025-04-28 15:37:33.240437
318,1242,3366,4,vehicle,Decent ride but car smelled like smoke.,2025-04-28 11:01:32.849724
319,1245,3531,4,driver,Driver was okay but not very talkative.,2025-04-28 08:18:11.972872
320,1257,1719,4,route,Decent ride but car smelled like smoke.,2025-04-28 10:42:01.097623
321,1259,2631,4,driver,"Good overall, but took a longer route.",2025-04-28 03:43:05.653306
322,1269,3739,4,driver,Decent ride but car smelled like smoke.,2025-04-27 21:57:18.296851
323,1270,1035,4,route,"Good overall, but took a longer route.",2025-04-28 09:34:26.916909
324,1274,1246,4,pricing,Driver was okay but not very talkative.,2025-04-27 13:47:55.199502
325,1275,3451,5,vehicle,Perfect experience from start to finish.,2025-04-28 15:43:44.612740
