ride_id,driver_id,customer_id,pickup_zone_id,dropoff_zone_id,pickup_datetime,dropoff_datetime,distance_miles,duration_minutes,fare_amount,tip_amount,payment_method,ride_status,customer_rating,driver_rating,created_at
20,77,2968,6,11,2025-04-23 13:52:13.614223,2025-04-23 14:15:53.725263,11.89,23,32.38,5.47,credit,completed,5.5,5.0,2025-04-23 13:52:13.614223
21,54,3961,5,8,2025-04-23 19:17:13.614223,2025-04-23 19:43:10.224232,12.26,25,46.57,9.76,cash,completed,4.9,4.722304582981119,2025-04-23 19:17:13.614223
22,31,3807,5,10,2025-04-23 02:17:13.614223,2025-04-23 02:44:14.216740,11.34,27,31.07,4.87,credit,completed,4.9,4.894306503615923,2025-04-23 02:17:13.614223
23,41,2291,9,10,2025-04-23 15:13:13.614223,2025-04-23 15:17:26.135234,1.79,4,6.37,0.9,credit,completed,3.4,3.4166272517149343,2025-04-23 15:13:13.614223
24,94,1969,10,12,2025-04-23 07:46:13.614223,2025-04-23 07:56:45.027732,4.37,10,13.64,2.82,cash,completed,4.3,4.592932868132317,2025-04-23 07:46:13.614223
25,81,4765,2,6,2025-04-23 07:25:13.614223,2025-04-23 07:33:41.654000,3.15,8,12.59,2.26,cash,completed,4.2,4.696631463959332,2025-04-23 07:25:13.614223
26,81,1889,11,2,2025-04-23 11:44:13.614223,2025-04-23 11:49:00.249020,1.95,4,6.47,0.95,mobile,completed,3.5,3.53586396538375,2025-04-23 11:44:13.614223
27,23,4830,5,9,2025-04-23 08:12:13.614223,2025-04-23 08:34:20.897297,12.89,22,48.66,12.02,credit,completed,5.1,4.896246463265144,2025-04-23 08:12:13.614223
28,1,373,5,1,2025-04-23 09:00:13.614223,2025-04-23 09:17:20.857875,7.75,17,22.53,4.61,credit,completed,4.1,4.237869655105927,2025-04-23 09:00:13.614223
29,12,3922,4,8,2025-04-23 07:55:13.614223,2025-04-23 08:12:38.542089,11.52,17,49.92,12.22,cash,completed,5.1,5.0,2025-04-23 07:55:13.614223
30,53,440,8,3,2025-04-23 02:25:13.614223,2025-04-23 02:33:39.886131,3.39,8,10.26,0.0,mobile,completed,4.1,4.549125642358031,2025-04-23 02:25:13.614223
31,97,4884,3,10,2025-04-23 07:07:13.614223,2025-04-23 07:09:47.098605,1.0,2,6.6,0.0,mobile,completed,3.7,3.5803780261465494,2025-04-23 07:07:13.614223
32,28,4659,1,10,2025-04-23 09:55:13.614223,2025-04-23 10:03:13.580415,3.09,7,14.71,0.0,mobile,completed,4.9,4.499233574774789,2025-04-23 09:55:13.614223
33,5,1965,3,3,2025-04-23 19:13:13.614223,2025-04-23 19:19:22.043869,2.71,6,15.07,1.86,cash,completed,3.9,3.850503704617702,2025-04-23 19:13:13.614223
34,14,3720,5,2,2025-04-23 09:02:13.614223,2025-04-23 09:28:56.455810,15.43,26,40.8,9.73,mobile,completed,5.2,5.0,2025-04-23 09:02:13.614223
35,24,1221,9,5,2025-04-23 08:27:13.614223,2025-04-23 08:38:01.267612,5.1,10,17.37,1.92,credit,completed,3.7,3.992628566232412,2025-04-23 08:27:13.614223
36,65,2492,6,12,2025-04-23 18:58:13.614223,2025-04-23 19:14:22.510770,9.03,16,25.57,3.6,mobile,completed,4.2,4.193795219345084,2025-04-23 18:58:13.614223
37,4,2052,6,1,2025-04-23 01:56:13.614223,2025-04-23 02:10:25.408146,7.35,14,21.57,0.0,mobile,completed,4.4,4.735958613906182,2025-04-23 01:56:13.614223
38,66,330,2,3,2025-04-23 00:48:13.614223,2025-04-23 00:52:33.498468,1.62,4,8.64,1.71,cash,completed,4.2,3.8814891472231263,2025-04-23 00:48:13.614223
39,95,2851,2,7,2025-04-23 20:52:13.614223,2025-04-23 20:56:46.476148,1.83,4,9.17,1.84,credit,completed,3.5,3.329803663578965,2025-04-23 20:52:13.614223
40,93,4507,11,1,2025-04-23 09:42:13.614223,2025-04-23 09:54:39.385969,4.22,12,10.49,1.54,cash,completed,4.0,3.6159216014309576,2025-04-23 09:42:13.614223
41,83,4445,6,8,2025-04-23 18:52:13.614223,2025-04-23 19:10:05.130271,7.18,17,29.63,3.8,cash,completed,5.1,5.0,2025-04-23 18:52:13.614223
42,9,1074,11,5,2025-04-23 14:48:13.614223,2025-04-23 14:55:10.890417,3.39,6,9.02,1.85,credit,completed,4.0,3.528869442441663,2025-04-23 14:48:13.614223
43,33,4525,4,7,2025-04-23 07:45:13.614223,2025-04-23 08:07:43.450270,13.57,22,41.18,0.0,credit,completed,5.1,5.0,2025-04-23 07:45:13.614223
44,90,2240,10,7,2025-04-23 04:31:13.614223,2025-04-23 04:37:02.006882,1.98,5,8.28,2.05,credit,completed,3.8,3.7567864727323133,2025-04-23 04:31:13.614223
45,17,1119,11,2,2025-04-23 06:58:13.614223,2025-04-23 07:07:10.064733,3.44,8,9.11,0.0,cash,completed,4.0,3.8398752431142955,2025-04-23 06:58:13.614223
46,1,4809,2,10,2025-04-23 09:52:13.614223,2025-04-23 10:03:50.346139,5.8,11,27.24,4.72,credit,completed,5.1,5.0,2025-04-23 09:52:13.614223
47,67,2637,3,4,2025-04-23 10:35:13.614223,2025-04-23 10:39:28.568383,1.54,4,7.91,1.07,cash,completed,4.0,3.733562446057893,2025-04-23 10:35:13.614223
48,32,3124,9,7,2025-04-23 07:20:13.614223,2025-04-23 07:32:25.637659,4.45,12,15.69,3.43,mobile,completed,4.6,5.0,2025-04-23 07:20:13.614223
49,67,823,6,8,2025-04-23 01:08:13.614223,2025-04-23 01:30:46.822930,11.26,22,30.89,0.0,cash,completed,4.8,4.3153475979152605,2025-04-23 01:08:13.614223
50,26,2172,3,6,2025-04-23 20:09:13.614223,2025-04-23 20:15:12.685755,2.88,5,11.19,1.79,credit,completed,4.4,4.751765292350692,2025-04-23 20:09:13.614223
51,90,3998,7,9,2025-04-23 18:24:13.614223,2025-04-23 18:33:08.816196,3.02,8,9.51,0.0,credit,completed,4.5,4.234770243102021,2025-04-23 18:24:13.614223
52,60,807,5,11,2025-04-23 09:14:13.614223,2025-04-23 09:45:24.317111,13.88,31,37.11,4.27,credit,completed,4.7,4.894001162793234,2025-04-23 09:14:13.614223
53,28,3071,1,7,2025-04-23 07:20:13.614223,2025-04-23 07:24:07.426831,1.39,3,9.52,0.0,mobile,completed,3.9,3.812051748975575,2025-04-23 07:20:13.614223
54,95,3134,12,10,2025-04-23 05:10:13.614223,2025-04-23 05:16:01.382472,2.66,5,10.65,1.86,mobile,completed,4.4,4.04311772012851,2025-04-23 05:10:13.614223
55,2,3812,12,5,2025-04-23 08:29:13.614223,2025-04-23 08:37:35.630521,3.71,8,13.19,1.63,cash,completed,3.6,4.045235634934646,2025-04-23 08:29:13.614223
56,97,3743,11,5,2025-04-23 09:40:13.614223,2025-04-23 09:45:21.038971,1.73,5,8.52,0.0,cash,completed,3.7,4.053335458660186,2025-04-23 09:40:13.614223
57,86,2419,3,1,2025-04-23 12:36:13.614223,2025-04-23 12:44:03.680327,3.32,7,12.25,2.43,cash,completed,3.5,3.00809796576149,2025-04-23 12:36:13.614223
58,94,2345,8,4,2025-04-23 19:03:13.614223,2025-04-23 19:08:05.993935,1.67,4,9.55,1.46,mobile,completed,4.3,3.990131989277088,2025-04-23 19:03:13.614223
59,63,796,12,11,2025-04-23 23:49:13.614223,2025-04-23 23:57:26.197780,3.09,8,11.68,1.71,cash,completed,4.1,3.633364531245632,2025-04-23 23:49:13.614223
60,89,3404,9,3,2025-04-23 04:05:13.614223,2025-04-23 04:18:40.962071,4.62,13,11.54,0.0,mobile,completed,4.2,4.5764605967066405,2025-04-23 04:05:13.614223
61,36,3948,3,5,2025-04-23 16:58:13.614223,2025-04-23 17:06:48.008002,3.77,8,13.35,2.01,credit,completed,4.0,3.9683313888526954,2025-04-23 16:58:13.614223
62,88,3256,11,9,2025-04-23 07:55:13.614223,2025-04-23 08:05:19.411584,3.77,10,9.7,2.12,credit,completed,5.3,5.0,2025-04-23 07:55:13.614223
63,81,3122,7,11,2025-04-23 11:43:13.614223,2025-04-23 11:55:24.466884,4.43,12,8.82,1.03,credit,completed,3.9,3.8714768679814386,2025-04-23 11:43:13.614223
64,90,518,4,11,2025-04-23 17:20:13.614223,2025-04-23 17:43:36.615757,9.68,23,30.71,7.26,cash,completed,4.7,4.849239446284591,2025-04-23 17:20:13.614223
65,60,797,1,4,2025-04-23 01:02:13.614223,2025-04-23 01:17:08.443399,6.47,14,17.91,2.16,cash,completed,3.8,3.6710115154868825,2025-04-23 01:02:13.614223
66,29,1266,6,7,2025-04-23 19:34:13.614223,2025-04-23 19:54:32.360013,10.58,20,40.98,9.22,mobile,completed,5.3,5.0,2025-04-23 19:34:13.614223
67,13,1935,6,6,2025-04-23 07:44:13.614223,2025-04-23 08:02:39.556330,9.85,18,38.55,0.0,mobile,completed,5.2,5.0,2025-04-23 07:44:13.614223
68,64,1001,1,8,2025-04-23 19:22:13.614223,2025-04-23 19:28:32.964514,3.07,6,14.65,0.0,credit,completed,3.8,3.9417044672332175,2025-04-23 19:22:13.614223
69,56,1032,7,10,2025-04-23 00:03:13.614223,2025-04-23 00:06:00.821898,1.0,2,3.89,0.0,mobile,completed,3.5,3.2071573703466587,2025-04-23 00:03:13.614223
70,80,4883,3,1,2025-04-23 07:21:13.614223,2025-04-23 07:26:15.113550,1.81,5,8.58,0.0,credit,completed,4.2,4.6875273043661725,2025-04-23 07:21:13.614223
71,3,122,12,6,2025-04-23 05:07:13.614223,2025-04-23 05:17:13.546622,3.76,9,13.31,1.81,cash,completed,4.0,3.5157810835111603,2025-04-23 05:07:13.614223
72,41,521,2,8,2025-04-23 04:47:13.614223,2025-04-23 04:52:45.902975,2.29,5,10.36,1.6,mobile,completed,3.4,3.0090540100038456,2025-04-23 04:47:13.614223
73,57,4272,8,5,2025-04-23 19:02:13.614223,2025-04-23 19:05:15.031638,1.11,3,5.68,1.39,credit,completed,4.5,4.998586755089327,2025-04-23 19:02:13.614223
74,96,3634,9,2,2025-04-23 17:43:13.614223,2025-04-23 17:56:15.655536,6.18,13,20.12,2.98,credit,completed,5.0,4.565682233320114,2025-04-23 17:43:13.614223
75,44,4894,3,9,2025-04-23 20:37:13.614223,2025-04-23 20:49:42.887087,4.9,12,16.09,0.0,mobile,completed,3.9,4.005426791535313,2025-04-23 20:37:13.614223
76,2,4517,2,12,2025-04-23 22:07:13.614223,2025-04-23 22:17:41.068151,3.67,10,13.93,2.29,credit,completed,4.6,4.513813571176913,2025-04-23 22:07:13.614223
77,49,2561,1,11,2025-04-23 17:26:13.614223,2025-04-23 17:28:57.390973,1.0,2,8.31,0.0,credit,completed,3.4,3.5868210354669765,2025-04-23 17:26:13.614223
78,18,3053,5,3,2025-04-23 02:53:13.614223,2025-04-23 03:20:00.910566,16.9,26,44.3,8.33,mobile,completed,4.6,4.661683381569728,2025-04-23 02:53:13.614223
79,65,3465,1,12,2025-04-23 13:22:13.614223,2025-04-23 13:37:03.612369,5.16,14,15.04,0.0,cash,completed,4.3,4.400410091224677,2025-04-23 13:22:13.614223
80,52,1838,11,2,2025-04-23 18:32:13.614223,2025-04-23 18:35:36.443203,1.53,3,5.73,1.05,credit,completed,4.1,4.36260563193685,2025-04-23 18:32:13.614223
81,7,4561,7,1,2025-04-23 13:54:13.614223,2025-04-23 14:02:10.676516,3.1,7,6.92,1.37,mobile,completed,4.0,3.7674477251541107,2025-04-23 13:54:13.614223
82,95,51,6,3,2025-04-23 22:48:13.614223,2025-04-23 23:18:32.517624,16.76,30,43.96,8.13,cash,completed,4.6,4.169585421248336,2025-04-23 22:48:13.614223
83,47,3440,6,8,2025-04-23 07:05:13.614223,2025-04-23 07:31:09.447960,11.54,25,44.18,6.87,mobile,completed,5.2,5.0,2025-04-23 07:05:13.614223
84,97,408,11,11,2025-04-23 18:05:13.614223,2025-04-23 18:15:05.533430,3.42,9,12.71,0.0,cash,completed,3.6,3.761938692808261,2025-04-23 18:05:13.614223
85,7,933,3,6,2025-04-23 14:26:13.614223,2025-04-23 14:31:02.209057,2.12,4,9.32,1.33,mobile,completed,4.5,4.593134250392263,2025-04-23 14:26:13.614223
86,12,449,8,1,2025-04-23 09:02:13.614223,2025-04-23 09:11:53.089571,4.35,9,12.2,0.0,credit,completed,4.7,4.967349527308604,2025-04-23 09:02:13.614223
87,75,3528,10,3,2025-04-23 09:20:13.614223,2025-04-23 09:23:57.040325,1.76,3,10.88,0.0,mobile,completed,3.9,4.1036712633826635,2025-04-23 09:20:13.614223
88,76,347,10,7,2025-04-23 21:51:13.614223,2025-04-23 21:58:12.935788,2.97,6,10.49,0.0,credit,completed,4.0,4.3621100136120665,2025-04-23 21:51:13.614223
89,37,944,9,7,2025-04-23 18:25:13.614223,2025-04-23 18:35:34.736417,3.82,10,10.07,0.0,cash,completed,3.9,3.571873180578069,2025-04-23 18:25:13.614223
90,87,3578,5,2,2025-04-23 17:53:13.614223,2025-04-23 18:24:55.454639,14.48,31,53.95,0.0,mobile,completed,5.2,5.0,2025-04-23 17:53:13.614223
91,10,1378,11,2,2025-04-23 09:47:13.614223,2025-04-23 09:58:49.603264,4.96,11,11.79,1.38,mobile,completed,3.9,3.5939037062669,2025-04-23 09:47:13.614223
92,32,1210,11,4,2025-04-23 09:46:13.614223,2025-04-23 09:56:32.400508,3.49,10,12.87,0.0,cash,completed,4.2,3.8972718028239832,2025-04-23 09:46:13.614223
93,96,4048,6,8,2025-04-23 20:04:13.614223,2025-04-23 20:20:14.149819,9.55,16,26.8,5.73,cash,completed,5.6,5.0,2025-04-23 20:04:13.614223
94,29,2590,3,3,2025-04-23 19:40:13.614223,2025-04-23 19:54:22.476135,4.74,14,21.97,3.74,mobile,completed,4.7,4.502820435139013,2025-04-23 19:40:13.614223
95,80,3703,10,1,2025-04-23 01:22:13.614223,2025-04-23 01:29:42.171252,2.98,7,10.52,0.0,cash,completed,3.6,3.1767310011734553,2025-04-23 01:22:13.614223
96,6,4755,6,9,2025-04-23 07:39:13.614223,2025-04-23 08:10:28.907832,14.93,31,55.44,11.69,credit,completed,5.0,4.949733703650907,2025-04-23 07:39:13.614223
97,35,1236,2,1,2025-04-23 19:12:13.614223,2025-04-23 19:20:37.765868,3.62,8,19.34,4.29,cash,completed,4.3,4.782385581093397,2025-04-23 19:12:13.614223
98,63,3600,1,9,2025-04-23 20:11:13.614223,2025-04-23 20:18:05.616755,3.37,6,11.12,1.38,cash,completed,4.1,4.51793678911696,2025-04-23 20:11:13.614223
99,7,2742,10,2,2025-04-23 10:43:13.614223,2025-04-23 10:49:11.100340,2.29,5,8.98,1.65,cash,completed,4.3,4.084146973878114,2025-04-23 10:43:13.614223
100,9,668,12,10,2025-04-23 19:58:13.614223,2025-04-23 20:00:49.776272,1.0,2,9.24,2.19,cash,completed,3.2,3.667696507692745,2025-04-23 19:58:13.614223
101,83,2537,12,9,2025-04-23 12:08:13.614223,2025-04-23 12:13:12.926330,1.92,4,8.85,1.94,credit,completed,4.3,4.470116399994723,2025-04-23 12:08:13.614223
102,79,3469,6,9,2025-04-23 19:43:13.614223,2025-04-23 20:18:23.007434,14.57,35,54.27,8.38,credit,completed,5.0,5.0,2025-04-23 19:43:13.614223
103,11,633,5,5,2025-04-23 15:12:13.614223,2025-04-23 15:32:50.971746,11.94,20,32.51,3.74,mobile,completed,4.7,5.0,2025-04-23 15:12:13.614223
104,6,1074,2,10,2025-04-23 07:42:13.614223,2025-04-23 07:50:22.102361,3.48,8,18.85,2.34,mobile,completed,4.5,4.7710978137309885,2025-04-23 07:42:13.614223
105,76,1946,6,8,2025-04-23 08:46:13.614223,2025-04-23 09:08:50.805578,11.67,22,44.61,9.5,cash,completed,5.1,4.834002944335424,2025-04-23 08:46:13.614223
106,28,4673,11,8,2025-04-23 15:57:13.614223,2025-04-23 16:06:41.114117,3.34,9,8.93,1.27,cash,completed,3.8,3.802906691487579,2025-04-23 15:57:13.614223
107,7,2049,6,1,2025-04-23 05:52:13.614223,2025-04-23 06:12:44.895369,12.07,20,32.82,7.59,mobile,completed,5.1,5.0,2025-04-23 05:52:13.614223
108,65,1314,8,5,2025-04-23 18:54:13.614223,2025-04-23 19:07:27.789924,6.23,13,22.38,3.96,cash,completed,4.0,3.5917135696590936,2025-04-23 18:54:13.614223
109,60,437,11,7,2025-04-23 17:56:13.614223,2025-04-23 18:10:59.601084,6.28,14,19.79,2.68,credit,completed,3.8,3.6749126734177673,2025-04-23 17:56:13.614223
110,28,1197,2,3,2025-04-23 03:53:13.614223,2025-04-23 03:55:56.496479,1.0,2,7.03,0.0,cash,completed,3.5,3.6960719885759836,2025-04-23 03:53:13.614223
111,60,650,1,1,2025-04-23 22:30:13.614223,2025-04-23 22:38:49.676665,3.51,8,11.43,0.0,credit,completed,4.1,4.148804245443835,2025-04-23 22:30:13.614223
112,31,2468,10,2,2025-04-23 18:27:13.614223,2025-04-23 18:30:42.922945,1.65,3,10.56,0.0,cash,completed,4.0,4.13895173217281,2025-04-23 18:27:13.614223
113,92,4392,10,1,2025-04-23 02:07:13.614223,2025-04-23 02:10:07.159973,1.02,2,6.12,1.14,mobile,completed,4.4,4.04357684024626,2025-04-23 02:07:13.614223
114,94,702,11,9,2025-04-23 19:22:13.614223,2025-04-23 19:32:54.750808,4.77,10,11.46,1.26,mobile,completed,3.8,3.844081959928033,2025-04-23 19:22:13.614223
115,99,357,2,11,2025-04-23 18:35:13.614223,2025-04-23 18:37:14.834281,1.0,2,9.84,1.53,mobile,completed,4.8,4.316242231108948,2025-04-23 18:35:13.614223
116,98,4767,10,12,2025-04-23 09:15:13.614223,2025-04-23 09:22:57.370849,2.83,7,14.25,1.71,cash,completed,4.7,4.746013745207692,2025-04-23 09:15:13.614223
117,42,3921,3,11,2025-04-23 08:53:13.614223,2025-04-23 09:01:35.171459,3.01,8,16.08,0.0,credit,completed,4.3,3.8631005370322242,2025-04-23 08:53:13.614223
118,78,1635,12,1,2025-04-23 17:02:13.614223,2025-04-23 17:07:33.535948,2.32,5,13.76,2.02,cash,completed,3.9,4.389122702296123,2025-04-23 17:02:13.614223
119,47,2925,2,1,2025-04-23 08:02:13.614223,2025-04-23 08:10:59.015387,3.18,8,12.68,1.9,credit,completed,4.0,4.299342411518239,2025-04-23 08:02:13.614223
120,23,2778,8,3,2025-04-23 12:47:13.614223,2025-04-23 12:49:39.998421,1.0,2,5.46,0.95,mobile,completed,4.6,4.366720695802182,2025-04-23 12:47:13.614223
121,11,1479,8,9,2025-04-23 13:05:13.614223,2025-04-23 13:18:10.445208,5.33,12,14.17,0.0,credit,completed,4.7,4.280068911074995,2025-04-23 13:05:13.614223
122,53,3637,11,6,2025-04-23 09:28:13.614223,2025-04-23 09:44:04.787357,6.09,15,13.8,2.88,cash,completed,4.6,4.714851482198764,2025-04-23 09:28:13.614223
123,89,3328,4,6,2025-04-23 20:50:13.614223,2025-04-23 21:24:20.472726,13.94,34,42.18,8.96,credit,completed,5.4,5.0,2025-04-23 20:50:13.614223
124,72,551,2,4,2025-04-23 19:43:13.614223,2025-04-23 19:55:59.193160,4.59,12,16.32,2.53,cash,completed,3.3,3.7494671118799197,2025-04-23 19:43:13.614223
125,39,3637,5,2,2025-04-23 04:43:13.614223,2025-04-23 05:05:03.000428,11.19,21,30.72,5.51,cash,completed,5.1,4.914385441314881,2025-04-23 04:43:13.614223
126,53,3171,10,9,2025-04-23 03:01:13.614223,2025-04-23 03:16:07.018332,5.44,14,16.03,0.0,cash,completed,3.9,4.104037811206826,2025-04-23 03:01:13.614223
127,87,1640,12,2,2025-04-23 19:18:13.614223,2025-04-23 19:20:55.253061,1.0,2,6.6,0.0,credit,completed,4.3,4.252042685245398,2025-04-23 19:18:13.614223
128,48,2619,12,11,2025-04-23 17:05:13.614223,2025-04-23 17:08:02.245016,1.0,2,9.24,1.01,mobile,completed,4.4,4.190362282777814,2025-04-23 17:05:13.614223
129,65,1427,3,6,2025-04-23 05:45:13.614223,2025-04-23 05:54:50.734625,3.55,9,12.81,1.51,credit,completed,4.1,4.392065673611141,2025-04-23 05:45:13.614223
130,19,3829,4,9,2025-04-23 15:01:13.614223,2025-04-23 15:23:12.464644,11.81,21,36.45,0.0,credit,completed,5.3,4.865748105267366,2025-04-23 15:01:13.614223
131,68,3355,2,10,2025-04-23 22:46:13.614223,2025-04-23 22:51:41.484148,2.2,5,10.15,0.0,cash,completed,3.7,3.8423385893863813,2025-04-23 22:46:13.614223
132,18,4517,1,11,2025-04-23 21:33:13.614223,2025-04-23 21:39:53.042800,2.84,6,9.96,2.14,credit,completed,4.1,4.032618286481974,2025-04-23 21:33:13.614223
133,21,1349,4,3,2025-04-23 07:53:13.614223,2025-04-23 08:22:17.395661,17.89,29,73.98,15.27,cash,completed,5.0,5.0,2025-04-23 07:53:13.614223
134,4,4513,10,5,2025-04-23 09:54:13.614223,2025-04-23 09:58:16.892189,1.95,4,8.21,0.0,cash,completed,3.7,3.814428278308198,2025-04-23 09:54:13.614223
135,89,1403,11,11,2025-04-23 20:10:13.614223,2025-04-23 20:17:33.937792,2.83,7,8.03,1.89,cash,completed,3.9,4.242530004113389,2025-04-23 20:10:13.614223
136,81,4725,9,5,2025-04-23 00:05:13.614223,2025-04-23 00:09:44.136563,2.2,4,7.13,1.53,cash,completed,3.8,3.9181084263249573,2025-04-23 00:05:13.614223
137,37,3957,5,4,2025-04-23 20:34:13.614223,2025-04-23 20:47:34.072806,7.45,13,21.82,4.42,cash,completed,5.4,5.0,2025-04-23 20:34:13.614223
138,48,2787,9,10,2025-04-23 05:28:13.614223,2025-04-23 05:37:33.773056,3.86,9,10.15,0.0,mobile,completed,4.1,3.919316392646728,2025-04-23 05:28:13.614223
139,52,4602,6,2,2025-04-23 09:25:13.614223,2025-04-23 09:44:10.217190,11.62,18,44.42,7.55,cash,completed,4.7,4.649596011995665,2025-04-23 09:25:13.614223
140,54,3426,3,4,2025-04-23 01:18:13.614223,2025-04-23 01:23:43.286538,1.87,5,8.71,2.05,cash,completed,3.9,4.333751535249405,2025-04-23 01:18:13.614223
141,2,3825,3,8,2025-04-23 08:48:13.614223,2025-04-23 08:52:36.640355,2.03,4,12.75,2.23,credit,completed,4.3,4.7452328040692375,2025-04-23 08:48:13.614223
142,12,2305,11,8,2025-04-23 07:13:13.614223,2025-04-23 07:27:30.878230,5.53,14,12.81,2.9,mobile,completed,4.0,3.9705868533681956,2025-04-23 07:13:13.614223
143,80,2997,5,7,2025-04-23 03:27:13.614223,2025-04-23 03:47:12.802043,12.23,19,33.19,5.31,mobile,completed,4.7,4.761816865165944,2025-04-23 03:27:13.614223
144,60,4505,9,5,2025-04-23 09:04:13.614223,2025-04-23 09:07:40.386209,1.44,3,5.75,1.11,mobile,completed,3.7,3.3188110197235896,2025-04-23 09:04:13.614223
145,28,2996,4,3,2025-04-23 17:23:13.614223,2025-04-23 17:57:08.527039,14.78,33,62.23,0.0,mobile,completed,5.6,5.0,2025-04-23 17:23:13.614223
146,36,4255,12,8,2025-04-23 01:08:13.614223,2025-04-23 01:10:56.429734,1.0,2,6.6,0.0,mobile,completed,4.3,3.939780985772355,2025-04-23 01:08:13.614223
147,10,2452,2,10,2025-04-23 09:10:13.614223,2025-04-23 09:15:04.219818,2.02,4,13.56,3.04,mobile,completed,4.1,4.089846652066258,2025-04-23 09:10:13.614223
148,19,898,3,7,2025-04-23 15:52:13.614223,2025-04-23 15:58:25.415421,3.07,6,11.64,2.56,mobile,completed,3.7,4.0720991141203315,2025-04-23 15:52:13.614223
149,41,4739,12,10,2025-04-23 19:30:13.614223,2025-04-23 19:36:12.688735,2.64,5,10.6,0.0,credit,completed,3.9,3.98352327704764,2025-04-23 19:30:13.614223
150,98,1211,11,11,2025-04-23 20:46:13.614223,2025-04-23 20:51:49.177702,2.13,5,6.8,0.0,mobile,completed,4.4,4.8482051707843015,2025-04-23 20:46:13.614223
151,18,1671,8,7,2025-04-23 00:28:13.614223,2025-04-23 00:35:30.763067,3.15,7,9.79,1.88,cash,completed,3.9,4.272817708912321,2025-04-23 00:28:13.614223
